GENESIS-Tabelle: 21411-0002
BAföG - Geförderte Personen und finanzieller Aufwand:;;;;;;;;;;;;;;;;;;;
Bundesländer, Jahre, Personenkreis;;;;;;;;;;;;;;;;;;;
Statistik der Bundesausbildungsförderung (BAföG);;;;;;;;;;;;;;;;;;;
;;Schüler;Schüler;Schüler;Schüler;Schüler;Schüler;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person
;;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR
Bayern;2003;42102;28761;13341;23688;92049;324;59524;18653;40871;40216;169177;351;101628;47415;54213;63905;261231;341
Bayern;2004;42231;28482;13749;24175;93666;323;60685;18601;42084;41506;175009;351;102917;47084;55833;65682;268681;341
Bayern;2005;41448;27788;13660;24033;91964;319;61381;18567;42814;41626;177615;356;102833;46359;56474;65662;269595;342
Bayern;2006;39802;26365;13437;23144;87339;314;58764;18165;40599;40833;174240;356;98571;44534;54037;63979;261588;341
Bayern;2007;38545;25791;12754;22110;82671;312;62491;19005;43486;42065;179139;355;101041;44799;56242;64178;261822;340
Bayern;2008;39046;26973;12073;22138;85696;323;65599;21844;43755;43036;193714;375;104653;48823;55830;65178;279429;357
Bayern;2009;41693;28938;12755;23614;97744;345;69548;23081;46467;46348;228121;410;111250;52023;59227;69966;325890;388
Bayern;2010;42738;30047;12691;24746;104549;352;75796;25666;50130;50045;246817;411;118549;55724;62825;74797;351400;392
Bayern;2011;43456;29959;13497;25220;116792;386;85966;28087;57879;56430;287632;425;129432;58054;71378;81655;404458;413
Bayern;2012;40349;27395;12954;23873;126550;442;89905;28753;61152;61191;308134;420;130254;56148;74106;85064;434684;426
Bayern;2013;38267;25577;12690;22517;130311;482;89004;28162;60842;60391;303582;419;127271;53739;73532;82908;433893;436
Bayern;2014;36143;23964;12179;21371;129939;507;84905;27019;57886;56802;286863;421;121048;50983;70065;78174;416803;444
Bayern;2015;33220;21917;11303;51656;277641;512;77234;24572;52662;51475;260717;422;110454;46489;63965;71307;382567;447
Bayern;2016;30957;21218;9739;18127;115909;533;71936;24689;47247;46928;246388;438;102893;45907;56986;65055;362297;464
Bayern;2017;29953;21048;8905;17557;118928;564;67599;23455;44144;44562;253657;474;97552;44503;53049;62119;372584;500
Bayern;2018;27083;18966;8117;15892;109022;572;62159;23096;39063;41087;229921;466;89242;42062;47180;56978;338943;496
Berlin;1991;11102;6989;4113;7021;21010;249;49127;22133;26994;37297;134136;300;60232;29125;31107;44321;155157;292
Berlin;1992;8956;5186;3770;5606;18901;281;49098;17918;31180;35879;130565;303;58056;23106;34950;41486;149473;300
Berlin;1993;7753;4328;3425;4950;18161;306;43616;14390;29226;32408;122852;316;51370;18719;32651;37359;141016;315
Berlin;1994;6970;4527;2443;4463;16897;316;36297;12888;23409;26980;101480;313;43268;17416;25852;31444;118381;314
Berlin;1995;6625;4741;1884;4190;16590;330;32191;12896;19295;23225;91269;327;38817;17637;21180;27417;107864;328
Berlin;1996;7136;3943;3193;4298;17466;339;28409;10641;17768;20341;85529;350;35546;14585;20961;24640;103003;348
Berlin;1997;6987;3585;3402;4290;16315;317;24858;9230;15628;17138;71889;350;31845;12815;19030;21427;88203;343
Berlin;1998;7767;4458;3309;4802;17459;303;24569;9772;14797;16955;70431;346;32336;14230;18106;21758;87891;337
Berlin;1999;8571;4869;3702;5284;18483;291;25398;9894;15504;17533;73673;350;33970;14763;19207;22817;92156;337
Berlin;2000;9015;5087;3928;5619;18875;280;26496;9734;16762;18332;77638;353;35511;14821;20690;23951;96512;336
Berlin;2001;10232;7265;2967;6160;23135;313;30228;13270;16958;20644;97139;392;40460;20535;19925;26804;120274;374
Berlin;2002;11754;8218;3536;7395;29006;327;32771;14067;18704;22932;110475;401;44525;22285;22240;30327;139480;383
Berlin;2003;13474;9222;4252;8450;32956;325;33812;14387;19425;24179;116719;402;47286;23609;23677;32629;149675;382
Berlin;2004;15095;10452;4643;9523;36644;321;33824;14480;19344;24385;118446;405;48921;24933;23988;33909;155094;381
Berlin;2005;15945;11334;4611;10315;39806;322;33647;14829;18818;23909;117167;408;49594;26164;23430;34225;156977;382
Berlin;2006;16635;12009;4626;10695;41268;322;32702;14422;18280;23130;113459;409;49337;26431;22906;33826;154729;381
Berlin;2007;17201;12639;4562;10929;41703;318;32115;14482;17633;22516;109137;404;49316;27121;22195;33446;150840;376
Berlin;2008;18253;14028;4225;11319;45683;336;32807;15827;16980;22540;115428;427;51060;29855;21205;33859;161110;397
Berlin;2009;19380;15185;4195;12346;52967;358;34110;16557;17553;23726;132439;465;53494;31746;21748;36074;185422;428
Berlin;2010;20253;15980;4273;12881;57010;369;36608;17756;18852;25227;142361;470;56864;33739;23125;38110;199380;436
Berlin;2011;20916;16484;4432;13292;63264;397;39900;18988;20912;27684;161892;487;60816;35472;25344;40976;225157;458
Berlin;2012;20871;16342;4529;13406;63661;396;42129;20184;21945;29342;170363;484;63000;36526;26474;42748;234024;456
Berlin;2013;20420;16069;4351;13143;62328;395;42660;20657;22003;29692;172551;484;63080;36726;26354;42836;234879;457
Berlin;2014;19970;15877;4093;12745;60619;396;42008;20688;21320;29104;171156;490;61978;36565;25413;41849;231776;462
Berlin;2015;18296;14404;3892;6;38;395;40818;20323;20495;28019;165748;493;59114;34727;24387;39859;221886;464
Berlin;2016;16936;13610;3326;10869;52599;403;39685;21319;18366;26888;163648;507;56621;34929;21692;37757;216247;477
Berlin;2017;15734;12735;2999;10152;51098;419;38346;20759;17587;26171;171747;547;54080;33494;20586;36324;222845;511
Berlin;2018;14828;12238;2590;9539;47481;415;36407;21065;15342;24857;160676;539;51235;33303;17932;34395;208157;504
Brandenburg;1991;16398;10450;5948;11827;28774;203;6234;3345;2889;4620;13813;249;22632;13795;8837;16447;42588;216
Brandenburg;1992;13195;6555;6640;9274;25027;225;7122;2149;4973;5226;16171;258;20317;8704;11613;14500;41198;237
Brandenburg;1993;10692;3789;6903;6788;19091;234;7471;1457;6014;5460;16907;258;18163;5246;12917;12248;35999;245
Brandenburg;1994;9594;3458;6136;5291;14407;227;6596;1359;5237;4837;14158;244;16190;4817;11373;10128;28563;235
Brandenburg;1995;7402;2864;4538;4598;13350;242;6246;1529;4717;4186;13048;260;13648;4393;9255;8784;26396;250
Brandenburg;1996;7056;2515;4541;4387;13394;254;6251;1636;4615;4220;14556;287;13307;4151;9156;8606;27950;271
Brandenburg;1997;8475;2842;5633;4939;14288;241;6559;1645;4914;4386;15335;291;15034;4487;10547;9325;29623;265
Brandenburg;1998;11538;4064;7474;6938;18724;225;7287;1757;5530;4932;17309;292;18827;5822;13005;11871;36037;253
Brandenburg;1999;13842;5473;8369;8822;23513;222;8188;2097;6091;5495;19663;298;22032;7571;14461;14318;43179;251
Brandenburg;2000;15907;6310;9597;10318;27351;221;8843;2233;6610;5976;21803;304;24750;8543;16207;16293;49154;251
Brandenburg;2001;18926;10926;8000;11826;37677;265;10481;2718;7763;6873;29314;355;29407;13644;15763;18699;66991;299
Brandenburg;2002;19903;11308;8595;12945;43585;281;11101;3834;7267;7508;33055;367;31005;15143;15862;20453;76642;312
Brandenburg;2003;20469;11379;9090;13263;44793;281;11486;4165;7321;7724;34245;369;31957;15546;16411;20987;79041;314
Brandenburg;2004;21321;11983;9338;13596;45684;280;12083;4467;7616;8113;37133;381;33408;16454;16954;21711;82831;318
Brandenburg;2005;22201;12710;9491;14054;46886;278;12761;4860;7901;8562;40691;396;34966;17574;17392;22618;87588;323
Brandenburg;2006;21870;12561;9309;14241;46830;274;12791;4904;7887;8607;41297;400;34665;17468;17197;22851;88140;321
Brandenburg;2007;21283;12799;8484;14077;46549;276;12906;5185;7721;8485;41039;403;34190;17985;16205;22562;87590;324
Brandenburg;2008;20051;12788;7263;13198;47880;302;14294;6259;8035;8925;45631;426;34346;19047;15299;22123;93513;352
Brandenburg;2009;18502;11833;6669;12346;49504;334;15852;6840;9012;10119;55421;456;34356;18673;15683;22466;104933;389
Brandenburg;2010;16607;10711;5896;10959;46079;350;16658;7222;9436;10833;60323;464;33268;17933;15335;21794;106409;407
Brandenburg;2011;14853;9601;5252;9647;44608;385;17194;7560;9634;11214;64953;483;32052;17162;14890;20865;109576;438
Brandenburg;2012;13629;8818;4811;8768;42483;404;17253;7758;9495;11123;64296;482;30882;16576;14306;19891;106779;447
Brandenburg;2013;12551;8269;4282;8203;39929;406;16182;7348;8834;10722;62509;486;28733;15617;13116;18926;102438;451
Brandenburg;2014;11865;7898;3967;7935;38902;409;15287;7169;8118;10033;59437;494;27152;15067;12085;17968;98339;456
Brandenburg;2015;10764;7178;3586;5;20;406;13954;6573;7381;9139;54620;498;24718;13751;10967;16373;89890;458
Brandenburg;2016;9851;6690;3161;6503;32270;414;12741;6378;6363;8297;50923;511;22592;13068;9524;14800;83192;468
Brandenburg;2017;9375;6338;3037;5979;30887;430;11942;5923;6019;7716;50771;548;21317;12261;9056;13695;81657;497
Brandenburg;2018;8795;5798;2997;5779;29159;420;10884;5155;5729;7109;45696;536;19679;10953;8726;12888;74855;484
Bremen;1991;2110;1010;1100;1221;3601;246;9720;3427;6293;6861;26906;327;11830;4437;7393;8082;30505;315
Bremen;1992;2035;1017;1018;1174;3445;245;10056;3771;6285;7272;28764;330;12091;4788;7303;8445;32208;318
Bremen;1993;1855;973;882;1098;3425;260;9820;3620;6200;7008;28573;340;11675;4593;7082;8107;31997;329
Bremen;1994;1717;964;753;1003;3176;264;9122;3695;5427;6527;26824;342;10839;4659;6180;7529;30000;332
Bremen;1995;1687;1007;680;1010;3282;271;8269;3759;4510;5791;24645;355;9956;4766;5190;6801;27928;342
Bremen;1996;1678;958;720;995;3187;267;7480;3315;4165;5056;22671;374;9158;4273;4885;6051;25858;356
Bremen;1997;1790;1010;780;1041;3250;260;6232;2663;3569;4069;18191;373;8022;3673;4349;5110;21441;350
Bremen;1998;1922;1068;854;1109;3377;254;5657;2373;3284;3708;16447;370;7579;3441;4138;4818;19825;343
Bremen;1999;1935;1103;832;1090;3291;252;5754;2408;3346;3648;16553;378;7689;3511;4178;4739;19844;349
Bremen;2000;2125;1045;1080;1074;3201;248;5781;2291;3490;3700;17216;388;7906;3336;4570;4774;20416;356
Bremen;2001;1819;1296;523;1056;3640;287;6774;3235;3539;4161;21387;428;8593;4531;4062;5216;25026;400
Bremen;2002;2044;1489;555;1177;4355;308;7844;3728;4116;4874;25186;431;9888;5217;4671;6052;29541;407
Bremen;2003;2282;1670;612;1329;5031;315;8976;4077;4899;5692;30024;440;11258;5747;5511;7020;35056;416
Bremen;2004;2509;1827;682;1476;5510;311;9330;4328;5002;5987;30346;422;11839;6155;5684;7463;35857;400
