GENESIS-Tabelle: 21411-0002
BAföG - Geförderte Personen und finanzieller Aufwand:;;;;;;;;;;;;;;;;;;;
Bundesländer, Jahre, Personenkreis;;;;;;;;;;;;;;;;;;;
Statistik der Bundesausbildungsförderung (BAföG);;;;;;;;;;;;;;;;;;;
;;Schüler;Schüler;Schüler;Schüler;Schüler;Schüler;Studierende;Studierende;Studierende;Studierende;Studierende;Studierende;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
;;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person;Geförderte Personen;Personen mit Vollförderung;Personen mit Teilförderung;Geförderte Personen (durchschnittl. Monatsbestand);Finanzieller Aufwand;Durchschnittl. monatl. Förderungsbetrag pro Person
;;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR;Anzahl;Anzahl;Anzahl;Anzahl;Tsd. EUR;EUR
Hessen;2002;9929;5892;4037;5866;21791;310;27023;9870;17153;18308;82371;375;36952;15762;21190;24173;104161;359
Hessen;2003;10953;6439;4514;6407;23999;312;29113;10854;18259;19726;88311;373;40066;17293;22773;26132;112310;358
Hessen;2004;11650;6856;4794;6989;26613;317;31210;11471;19739;21503;97685;379;42861;18328;24533;28492;124299;364
Hessen;2005;12045;7209;4836;7147;27446;320;33877;12659;21218;23086;108153;390;45923;19868;26055;30234;135603;374
Hessen;2006;12229;7401;4828;7480;28526;318;34529;12695;21834;24013;112211;389;46759;20097;26662;31493;140742;372
Hessen;2007;11989;7271;4718;7331;27939;318;34363;13131;21232;23525;110985;393;46355;20404;25951;30858;138929;375
Hessen;2008;12660;8086;4574;7462;30278;338;36190;15295;20895;23551;117773;417;48852;23382;25470;31014;148054;398
Hessen;2009;13843;8775;5068;8316;35647;357;40249;17218;23031;26465;143042;450;54095;25996;28099;34783;178705;428
Hessen;2010;14917;9496;5421;9019;40128;371;44308;19193;25115;29228;158222;451;59227;28691;30536;38247;198352;432
Hessen;2011;15303;9876;5427;9263;44283;398;47431;20544;26887;31601;175272;462;62735;30420;32315;40865;219558;448
Hessen;2012;15516;10006;5510;9382;46084;409;49180;21240;27940;32969;180208;455;64696;31246;33450;42350;226292;445
Hessen;2013;15018;9459;5559;9257;45370;408;49800;21276;28524;33139;179998;453;64818;30735;34083;42396;225367;443
Hessen;2014;14503;9164;5339;8754;42668;406;49696;21062;28634;33297;181269;454;64199;30226;33973;42051;223936;444
Hessen;2015;13713;8645;5068;832;3667;411;47794;20294;27500;32220;175651;454;61507;28939;32568;40454;216219;445
Hessen;2016;12325;8007;4318;7512;38560;428;45685;20753;24932;30124;168838;467;58010;28760;29250;37637;207397;459
Hessen;2017;11177;7547;3630;6774;36737;452;43753;21068;22685;29079;175515;503;54930;28615;26315;35853;212251;493
Hessen;2018;10263;7012;3251;6198;34404;463;40905;19734;21171;27004;160675;496;51168;26746;24422;33202;195079;490
Mecklenburg-Vorpommern;1991;14582;8740;5842;10050;24643;204;13711;6853;6858;10419;30617;245;28293;15593;12700;20469;55260;225
Mecklenburg-Vorpommern;1992;11863;5700;6163;8080;21398;221;13416;4064;9352;10341;31142;251;25279;9764;15515;18421;52541;238
Mecklenburg-Vorpommern;1993;10037;3588;6449;6372;17147;224;11581;2250;9331;8584;25901;251;21618;5838;15780;14956;43049;240
Mecklenburg-Vorpommern;1994;8608;2961;5647;5517;14141;214;8825;1723;7102;6422;18258;237;17433;4684;12749;11939;32399;226
Mecklenburg-Vorpommern;1995;7578;2886;4692;4831;12771;220;7684;1779;5905;5435;16362;251;15262;4665;10597;10266;29132;236
Mecklenburg-Vorpommern;1996;7198;2692;4506;4574;13002;237;7539;1784;5755;5136;17008;276;14737;4476;10261;9710;30010;258
Mecklenburg-Vorpommern;1997;7867;2938;4929;4873;13814;236;7159;1604;5555;4959;16456;277;15026;4542;10484;9832;30270;257
Mecklenburg-Vorpommern;1998;8736;3197;5539;5459;14992;229;7875;1750;6125;5375;18121;281;16611;4947;11664;10834;33113;255
Mecklenburg-Vorpommern;1999;9433;3656;5777;6019;16500;228;8854;1977;6877;5995;20699;288;18287;5633;12654;12013;37197;258
Mecklenburg-Vorpommern;2000;10315;3991;6324;6507;18292;234;9646;2138;7508;6585;23433;297;19962;6129;13833;13092;41726;266
Mecklenburg-Vorpommern;2001;12102;6832;5270;7575;25833;284;11146;2717;8429;7664;32438;353;23250;9551;13699;15239;58275;319
Mecklenburg-Vorpommern;2002;13314;7243;6071;8495;30739;302;11671;3681;7990;8186;36208;369;24986;10925;14061;16681;66951;334
Mecklenburg-Vorpommern;2003;13984;7304;6680;9030;32775;302;12413;4106;8307;8485;37943;373;26398;11410;14988;17516;70722;336
Mecklenburg-Vorpommern;2004;14471;7619;6852;9431;34255;303;13299;4516;8783;9162;41446;377;27771;12135;15636;18594;75703;339
Mecklenburg-Vorpommern;2005;14645;7966;6679;9602;35331;307;13743;4805;8938;9479;43554;383;28388;12771;15617;19081;78885;345
Mecklenburg-Vorpommern;2006;14380;7784;6596;9404;34390;305;13426;4584;8842;9138;42026;383;27806;12368;15438;18542;76415;343
Mecklenburg-Vorpommern;2007;13352;7330;6022;8915;32668;305;13302;4643;8659;8950;41042;382;26654;11973;14681;17865;73711;344
Mecklenburg-Vorpommern;2008;12332;7119;5213;8164;32280;329;14002;5125;8877;9130;44377;405;26334;12244;14090;17294;76658;369
Mecklenburg-Vorpommern;2009;10995;6362;4633;7450;32425;363;14560;5197;9363;9613;50367;437;25557;11559;13998;17064;82794;404
Mecklenburg-Vorpommern;2010;9607;5650;3957;6396;29279;381;15062;5363;9699;9972;52716;441;24673;11013;13660;16369;82004;417
Mecklenburg-Vorpommern;2011;8623;5073;3550;5662;27889;410;15842;5579;10263;10329;57181;461;24465;10652;13813;15991;85070;443
Mecklenburg-Vorpommern;2012;7845;4593;3252;5135;25807;419;15458;5452;10006;10215;56602;462;23303;10045;13258;15350;82408;447
Mecklenburg-Vorpommern;2013;7004;4131;2873;4574;23282;424;14785;5337;9448;9588;53506;465;21789;9468;12321;14162;76787;452
Mecklenburg-Vorpommern;2014;6354;3802;2552;4152;21278;427;13796;5173;8623;9005;50754;470;20150;8975;11175;13157;72031;456
Mecklenburg-Vorpommern;2015;5585;3233;2352;8372;44229;422;12596;4702;7894;8320;47143;472;18181;7935;10246;12036;65983;457
Mecklenburg-Vorpommern;2016;5327;3279;2048;3471;18145;436;11787;4633;7154;7684;44988;488;17114;7912;9202;11155;63134;472
Mecklenburg-Vorpommern;2017;5122;3074;2048;3346;18076;450;11182;4317;6865;7441;46501;521;16304;7391;8913;10787;64577;499
Mecklenburg-Vorpommern;2018;4881;2841;2040;3224;16955;438;10515;3858;6657;6939;42439;510;15396;6699;8697;10162;59394;487
Niedersachsen;1991;24479;9494;14985;13957;41532;248;55798;17692;38106;41722;153071;306;80281;27188;53093;55681;194608;291
Niedersachsen;1992;22460;7669;14791;12841;37601;244;56572;16454;40118;42607;154981;303;79034;24123;54911;55448;192585;289
Niedersachsen;1993;20467;7120;13347;11698;34999;249;54295;15672;38623;40600;150421;309;74764;22793;51971;52299;185424;295
Niedersachsen;1994;19555;8301;11254;10944;33492;255;49428;14612;34816;36834;136285;308;68984;22914;46070;47779;169779;296
Niedersachsen;1995;18298;8833;9465;10660;33997;266;45008;14820;30188;32887;124981;317;63308;23655;39653;43547;158983;304
Niedersachsen;1996;17506;8038;9468;10155;32950;270;40977;13882;27095;28991;116506;335;58485;21922;36563;39148;149464;318
Niedersachsen;1997;17665;7475;10190;10526;32780;260;34598;11122;23476;24180;96095;331;52264;18598;33666;34706;128877;309
Niedersachsen;1998;17833;7477;10356;10464;32029;255;32891;10445;22446;22929;90068;327;50724;17922;32802;33392;122097;305
Niedersachsen;1999;17893;7621;10272;10498;32551;258;32695;10393;22302;22691;90287;332;50588;18014;32574;33189;122838;308
Niedersachsen;2000;18192;7317;10875;10923;33446;255;33594;10074;23520;23082;92629;334;51786;17391;34395;34005;126076;309
Niedersachsen;2001;20964;12370;8594;11988;42343;294;39061;9543;29518;26200;116954;372;60025;21913;38112;38187;159298;348
Niedersachsen;2002;23806;13806;10000;13975;51048;304;43305;14736;28569;30065;136355;378;67111;28542;38569;44040;187404;355
Niedersachsen;2003;26215;14948;11267;15461;56370;304;45657;15880;29777;31929;144169;376;71872;30828;41044;47390;200540;353
Niedersachsen;2004;27839;16048;11791;16671;60897;304;46586;16145;30441;32982;149155;377;74425;32193;42232;49653;210055;353
Niedersachsen;2005;28474;16543;11931;17405;63772;305;46403;16385;30018;32554;149508;383;74878;32928;41950;49960;213281;356
Niedersachsen;2006;28069;16263;11806;17254;62964;304;45222;15599;29623;31357;143658;382;73293;31863;41430;48613;206624;354
Niedersachsen;2007;26518;15475;11043;16244;59631;306;44734;15581;29153;29512;134652;380;71256;31058;40198;45757;194290;354
Niedersachsen;2008;27221;16659;10562;16275;63823;327;47539;17651;29888;30441;147838;405;74764;34313;40451;46719;211675;378
Niedersachsen;2009;29430;17946;11484;17644;72784;344;52704;18880;33824;33792;178221;440;82136;36827;45309;51437;251012;407
Niedersachsen;2010;31256;18973;12283;18773;78036;346;57512;20588;36924;36770;193959;440;88772;39565;49207;55545;272007;408
Niedersachsen;2011;31741;19230;12511;19285;84735;366;64156;22609;41547;41054;223848;454;95902;41843;54059;60342;308599;426
Niedersachsen;2012;31227;18682;12545;18795;83377;370;65809;23440;42369;41890;225694;449;97036;42122;54914;60686;309071;424
Niedersachsen;2013;29930;17835;12095;18113;81436;375;61697;22437;39260;39662;214500;451;91627;40272;51355;57775;295936;427
Niedersachsen;2014;28129;16525;11604;17043;77239;378;61890;22485;39405;39314;212843;451;90019;39010;51009;56357;290082;429
Niedersachsen;2015;26112;14253;11859;8993;54302;380;60027;19962;40065;38347;207031;450;86139;34215;51924;54260;279538;429
Niedersachsen;2016;24292;12336;11956;14569;68988;395;56974;18487;38487;37181;207101;464;81266;30823;50443;51749;276089;445
Niedersachsen;2017;23352;14890;8462;13972;68917;411;55175;20661;34514;36603;219202;499;78527;35551;42976;50575;288119;475
Niedersachsen;2018;21554;14253;7301;12977;63165;406;51284;21167;30117;34018;201532;494;72838;35420;37418;46995;264696;469
Nordrhein-Westfalen;1991;40866;15391;25475;24149;74059;256;134538;34003;100535;96159;340572;295;175406;49394;126012;120309;414634;287
Nordrhein-Westfalen;1992;38624;15887;22737;23501;72986;259;132950;40363;92587;95918;340308;296;171576;56252;115324;119420;413302;288
Nordrhein-Westfalen;1993;35729;13771;21958;21728;69636;267;126049;29713;96336;89442;326263;304;161778;43484;118294;111170;395898;297
Nordrhein-Westfalen;1994;33956;15260;18696;20436;66611;272;118212;28458;89754;80531;294122;304;152176;43723;108453;100971;360750;298
Nordrhein-Westfalen;1995;32729;17492;15237;20032;67391;280;101749;33777;67972;71419;267640;312;134487;51274;83213;91456;335053;305
Nordrhein-Westfalen;1996;32296;16766;15530;19860;67618;284;91994;33661;58333;63033;249912;330;124293;50430;73863;82893;317535;319
Nordrhein-Westfalen;1997;31943;15922;16021;19555;64303;274;79412;28182;51230;53834;211508;327;111356;44105;67251;73389;275812;313
Nordrhein-Westfalen;1998;31666;14561;17105;19392;62947;271;73695;20177;53518;49625;193761;325;105363;34740;70623;69018;256711;310
Nordrhein-Westfalen;1999;30931;14419;16512;18912;60657;267;71359;24239;47120;47704;189836;332;102292;38659;63633;66617;250496;313
Nordrhein-Westfalen;2000;30760;13134;17626;18700;58281;260;71310;23141;48169;47048;189353;335;102070;36275;65795;65749;247635;314
Nordrhein-Westfalen;2001;36681;26224;10457;21528;77716;301;81967;41350;40617;52998;234917;369;118649;67574;51075;74527;312636;350
Nordrhein-Westfalen;2002;42786;30956;11830;25374;94927;312;90674;46007;44667;60320;270568;374;133461;76964;56497;85695;365499;355
Nordrhein-Westfalen;2003;49509;35448;14061;29796;111857;313;96894;47839;49055;65377;291377;371;146404;83287;63117;95173;403236;353
Nordrhein-Westfalen;2004;55411;39622;15789;33564;127461;316;101263;50842;50421;68960;307281;371;156676;90465;66211;102524;434742;353
Nordrhein-Westfalen;2005;58764;41737;17027;36588;141161;322;105980;53413;52567;71960;322498;373;164746;95152;69594;108550;463666;356
Nordrhein-Westfalen;2006;58687;41502;17185;36321;138123;317;105595;52584;53011;72656;324369;372;164287;94089;70198;108978;462499;354
Nordrhein-Westfalen;2007;57872;41653;16219;35322;132841;313;102885;52343;50542;69705;311832;373;160762;94000;66762;105029;444684;353
Nordrhein-Westfalen;2008;58749;45683;13066;35786;141455;329;103459;61165;42294;68913;328109;397;162215;106854;55361;104703;469583;374
Nordrhein-Westfalen;2009;65267;58312;6955;40056;167707;349;112693;47069;65624;74311;387616;435;177971;105391;72580;114372;555356;405
Nordrhein-Westfalen;2010;68576;47041;21535;42192;180505;357;121313;51582;69731;79156;414184;436;189897;98629;91268;121353;594726;408
Nordrhein-Westfalen;2011;69933;48444;21489;42814;192890;375;133429;56036;77393;85755;463370;450;203371;104486;98885;128574;656288;425
Nordrhein-Westfalen;2012;69810;48105;21705;42951;195842;380;143453;58938;84515;93780;500144;444;213263;107043;106220;136731;695985;424
Nordrhein-Westfalen;2013;67545;46172;21373;40971;188176;383;148782;60543;88239;98557;520793;440;216327;106715;109612;139528;708969;423
Nordrhein-Westfalen;2014;65578;44635;20943;40426;186392;384;149224;60228;88996;99076;521167;438;214802;104863;109939;139502;707559;423
Nordrhein-Westfalen;2015;62834;43141;19693;430;2339;386;144377;58360;86017;95659;502358;438;207211;101501;105710;134228;680848;423
Nordrhein-Westfalen;2016;56644;40087;16557;35233;167135;395;139295;60419;78876;90749;491269;451;195939;100506;95433;125982;658404;436
Nordrhein-Westfalen;2017;51635;37114;14521;32006;156829;408;133344;58207;75137;87293;509796;487;184979;95321;89658;119299;666626;466
Nordrhein-Westfalen;2018;47799;34742;13057;29913;147028;410;124420;53927;70493;81758;473285;482;172219;88669;83550;111671;620314;463
Rheinland-Pfalz;1991;10730;4012;6718;6073;17097;235;25690;6607;19083;18004;68605;318;36421;10620;25801;24078;85704;297
Rheinland-Pfalz;1992;9691;3474;6217;5585;15630;233;25589;6561;19028;18066;66569;307;35280;10035;25245;23651;82199;290
Rheinland-Pfalz;1993;8654;3150;5504;5033;14451;239;24555;6398;18157;17161;63080;306;33210;9549;23661;22195;77535;291
Rheinland-Pfalz;1994;7862;3283;4579;4513;13189;244;22026;5936;16090;15466;56251;303;29888;9219;20669;19979;69441;290
Rheinland-Pfalz;1995;7510;3696;3814;4349;13204;253;19805;5861;13944;13667;50437;308;27315;9557;17758;18016;63641;294
Rheinland-Pfalz;1996;7275;3415;3860;4166;12905;258;17929;5490;12439;12048;46982;325;25204;8905;16299;16214;59888;308
Rheinland-Pfalz;1997;6928;3036;3892;3974;11730;246;15564;4461;11103;10377;39889;320;22492;7497;14995;14351;51619;300
Rheinland-Pfalz;1998;6787;2918;3869;3950;11448;242;14306;4110;10196;9468;36282;319;21093;7028;14065;13418;47731;296
Rheinland-Pfalz;1999;6845;3009;3836;3992;11651;243;13957;4047;9910;9130;35836;327;20803;7057;13746;13123;47489;302
Rheinland-Pfalz;2000;6916;2959;3957;4017;11808;245;14318;4044;10274;9180;36630;333;21234;7003;14231;13198;48438;306
Rheinland-Pfalz;2001;8030;4923;3107;4555;15577;285;16819;4250;12569;10522;46912;372;24849;9173;15676;15077;62489;345
Rheinland-Pfalz;2002;9092;5391;3701;5269;18592;294;19402;6387;13015;12645;56313;371;28494;11778;16716;17914;74905;348
Rheinland-Pfalz;2003;9726;5723;4003;5618;19666;292;21345;7021;14324;14167;62030;365;31071;12744;18327;19785;81698;344
Rheinland-Pfalz;2004;10306;6138;4168;6137;21209;288;22529;7352;15177;14858;64801;363;32835;13490;19345;20995;86011;341
Rheinland-Pfalz;2005;10870;6620;4250;6331;21680;285;22792;7579;15213;14996;65944;366;33662;14199;19463;21327;87623;342
Rheinland-Pfalz;2006;11097;6954;4143;6687;22838;285;22919;7323;15596;15003;65523;364;34017;14278;19739;21690;88363;339
Rheinland-Pfalz;2007;11184;7195;3989;6715;22834;283;22742;7449;15293;14784;64500;364;33928;14646;19282;21500;87339;339
Rheinland-Pfalz;2008;11623;7816;3807;6782;24000;295;23566;8688;14878;15056;70104;388;35191;16506;18685;21839;94109;359
Rheinland-Pfalz;2009;12690;8470;4220;7492;27835;310;25270;9377;15893;16236;83277;427;37963;17850;20113;23729;111122;390
Rheinland-Pfalz;2010;13801;9195;4606;8098;30855;318;27824;10331;17493;17745;91194;428;41628;19528;22100;25845;122061;394
Rheinland-Pfalz;2011;13914;9200;4714;8286;34354;346;30268;11176;19092;19455;103560;444;44183;20377;23806;27741;137916;414
Rheinland-Pfalz;2012;13616;8955;4661;8122;35662;366;31396;11590;19806;20069;106023;440;45012;20545;24467;28191;141685;419
Rheinland-Pfalz;2013;13051;8546;4505;7847;35830;381;31165;11702;19463;19688;103315;437;44216;20248;23968;27535;139145;421
Rheinland-Pfalz;2014;12347;8091;4256;7294;33715;385;30145;11072;19073;18732;98510;438;42492;19163;23329;26025;132225;423
Rheinland-Pfalz;2015;11348;7397;3951;69;363;393;27905;10267;17638;17433;91707;438;39253;17664;21589;24164;123447;426
Rheinland-Pfalz;2016;10307;7065;3242;6103;29350;401;26313;10285;16028;16065;86928;451;36620;17350;19270;22168;116278;437
Rheinland-Pfalz;2017;9695;6848;2847;5619;28333;420;24466;9616;14850;15318;89437;487;34161;16464;17697;20937;117770;469
Rheinland-Pfalz;2018;8829;6300;2529;5136;26453;429;22563;8855;13708;14031;81199;482;31392;15155;16237;19167;107652;468
Saarland;1991;1963;682;1281;1111;3228;242;6728;2084;4644;4686;16606;295;8691;2766;5925;5797;19834;285
Saarland;1992;1840;650;1190;1019;2929;240;6906;2018;4888;4770;16872;295;8746;2668;6078;5788;19799;285
Saarland;1993;1618;572;1046;916;2635;240;6667;1899;4768;4560;16514;302;8285;2471;5814;5477;19150;291
Saarland;1994;1484;638;846;856;2478;241;6157;1758;4399;4174;15198;303;7641;2396;5245;5030;17677;293
Saarland;1995;1496;728;768;834;2516;251;5620;1732;3888;3710;13536;304;7116;2460;4656;4544;16053;294
Saarland;1996;1440;649;791;819;2510;255;5039;1528;3511;3173;12251;322;6479;2177;4302;3992;14761;308
Saarland;1997;1371;580;791;786;2321;246;4301;1269;3032;2662;10164;318;5672;1849;3823;3447;12486;302
Saarland;1998;1302;548;754;763;2239;245;3911;1174;2737;2401;9188;319;5214;1723;3491;3164;11429;301
Saarland;1999;1308;568;740;729;2169;248;3826;1237;2589;2260;8962;330;5135;1806;3329;2990;11135;310
Saarland;2000;1250;531;719;685;2077;253;3996;1158;2838;2295;9351;340;5247;1690;3557;2980;11431;320
Saarland;2001;1383;867;516;755;2710;299;4644;1268;3376;2572;11501;373;6028;2136;3892;3327;14212;356
Saarland;2002;1587;972;615;864;3214;310;5434;1778;3656;3028;13641;375;7021;2750;4271;3892;16855;361
Saarland;2003;1727;1023;704;928;3390;304;6045;1971;4074;3286;14563;369;7772;2994;4778;4214;17956;355
Saarland;2004;1847;1058;789;1033;3681;297;5186;1658;3528;3084;13396;362;7033;2716;4317;4117;17075;346
Saarland;2005;1867;1088;779;1033;3651;295;3854;1354;2500;2558;10942;356;5721;2442;3279;3591;14594;339
Saarland;2006;1726;990;736;988;3512;296;3801;1325;2476;2556;10869;354;5527;2315;3212;3544;14381;338
Saarland;2007;1579;930;649;909;3192;293;3761;1359;2402;2505;10579;352;5341;2290;3051;3414;13775;336
Saarland;2008;1659;1042;617;933;3443;308;3889;1544;2345;2447;10948;373;5550;2588;2962;3382;14396;355
Saarland;2009;1725;1076;649;1019;4047;331;4113;1596;2517;2633;12717;402;5839;2673;3166;3652;16765;383
Saarland;2010;1779;1067;712;1072;4263;331;4599;1777;2822;2922;14079;402;6378;2844;3534;3994;18342;383
Saarland;2011;1859;1115;744;1122;4904;364;4995;1882;3113;3218;16007;415;6854;2997;3857;4340;20911;402
Saarland;2012;1890;1093;797;1144;5175;377;4986;1843;3143;3249;16193;415;6876;2936;3940;4393;21368;405
Saarland;2013;1869;1067;802;1151;5325;386;4929;1773;3156;3174;15899;417;6798;2840;3958;4325;21223;409
Saarland;2014;1797;1050;747;1104;5168;390;4770;1659;3111;3023;15181;419;6567;2709;3858;4127;20349;411
Saarland;2015;1827;1051;776;12165;62241;400;4414;1463;2951;2818;14177;419;6241;2514;3727;3906;19396;414
Saarland;2016;1902;1206;696;1133;5638;415;4246;1500;2746;2632;13702;434;6148;2706;3442;3765;19340;428
Saarland;2017;2009;1429;580;1216;6760;463;4280;1596;2684;2585;14498;467;6289;3025;3264;3801;21258;466
Saarland;2018;1707;1226;481;1024;5842;475;4124;1578;2546;2536;14337;471;5831;2804;3027;3561;20179;472
Sachsen;1991;27274;16708;10566;18503;41849;188;50125;25966;24159;38598;114878;248;77400;42675;34725;57100;156726;229
Sachsen;1992;21052;10915;10137;14398;36364;210;50327;16169;34158;37318;113237;253;71380;27085;44295;51716;149602;241
Sachsen;1993;17429;6732;10697;10723;28257;220;42840;8302;34538;31504;94530;250;60269;15034;45235;42227;122786;242
Sachsen;1994;14709;5618;9091;8839;22106;208;33972;6402;27570;23950;67506;235;48681;12020;36661;32789;89611;228
Sachsen;1995;14565;6238;8327;8843;22412;211;29160;6335;22825;19812;58092;244;43725;12573;31152;28655;80504;234
Sachsen;1996;15471;6240;9231;9569;24697;215;27637;6169;21468;18041;57156;264;43108;12409;30699;27611;81854;247
Sachsen;1997;17322;6744;10578;10802;27447;212;25936;5778;20158;17470;56094;268;43258;12522;30736;28271;83542;246
Sachsen;1998;19318;7423;11895;12082;30745;212;27834;5959;21875;18796;61125;271;47152;13382;33770;30878;91869;248
Sachsen;1999;21152;8425;12727;13154;34238;217;29736;6750;22986;19906;66593;279;50888;15175;35713;33060;100832;254
Sachsen;2000;22505;8565;13940;14472;38101;219;32129;7107;25022;21488;74541;289;54634;15672;38962;35959;112643;261
Sachsen;2001;27680;16168;11512;16986;54502;267;38402;9429;28973;25110;101945;338;66083;25597;40486;42097;156449;310
Sachsen;2002;30945;17642;13303;19731;66925;283;41447;12763;28684;27952;117612;351;72393;30406;41987;47684;184542;323
Sachsen;2003;33755;18853;14902;21927;74766;284;42667;13480;29187;28895;122662;354;76425;32334;44091;50823;197436;324
Sachsen;2004;35431;20134;15297;23405;80191;286;43428;13960;29468;29753;127922;358;78862;34095;44767;53161;208127;326
Sachsen;2005;36281;21054;15227;24007;82316;286;43529;14584;28945;29562;129952;366;79814;35639;44175;53572;212278;330
Sachsen;2006;36063;20948;15115;23775;81587;286;41755;13989;27766;28440;125866;369;77820;34937;42883;52216;207457;331
Sachsen;2007;34957;21391;13566;23115;80596;291;40883;14378;26505;27036;120170;370;75841;35769;40072;50152;200770;334
Sachsen;2008;33394;22031;11363;22697;87566;322;41610;15624;25986;27225;128554;393;75005;37656;37349;49922;216123;361
Sachsen;2009;31532;20772;10760;20963;89542;356;43178;16099;27079;28296;145276;428;74713;36872;37841;49261;234825;397
Sachsen;2010;28287;18673;9614;18684;86073;384;43893;16565;27328;28743;150585;437;72182;35239;36943;47429;236662;416
Sachsen;2011;25483;16710;8773;17152;87059;423;44742;16411;28331;29332;163095;463;70227;33122;37105;46484;250163;448
Sachsen;2012;23540;15470;8070;15523;80941;435;44196;15951;28245;29060;160603;461;67736;31421;36315;44584;241543;451
Sachsen;2013;21175;14120;7055;14487;76901;442;41781;15161;26620;27757;153498;461;62956;29281;33675;42244;230399;455
Sachsen;2014;19365;12846;6519;12881;69096;447;38574;14430;24144;25938;144343;464;57939;27276;30663;38819;213439;458
Sachsen;2015;17731;11542;6189;29449;150105;447;36062;12885;23177;24314;135472;464;53793;24427;29366;36461;200555;458
Sachsen;2016;16572;10984;5588;10934;60115;458;34073;12850;21223;22589;129860;479;50645;23834;26811;33524;189975;472
Sachsen;2017;15984;10371;5613;10476;59121;470;32308;11746;20562;21626;133893;516;48292;22117;26175;32103;193014;501
Sachsen;2018;15077;9396;5681;9983;54280;453;29820;10425;19395;19841;120154;505;44897;19821;25076;29824;174434;487
Sachsen-Anhalt;1991;17583;11137;6446;12297;29203;198;21540;11006;10534;16322;48074;245;39125;22145;16980;28619;77280;225
Sachsen-Anhalt;1992;14650;7306;7344;10223;25974;212;25481;9003;16478;15842;48060;253;40132;16310;23822;26066;74038;237
Sachsen-Anhalt;1993;12179;4365;7814;7861;20464;217;18232;3455;14777;13120;39441;251;30412;7821;22591;20982;59910;238
Sachsen-Anhalt;1994;10028;3704;6324;6156;15356;208;13204;2377;10827;9462;26410;233;23233;6082;17151;15619;41769;223
Sachsen-Anhalt;1995;8940;3668;5272;5452;14054;215;10972;2317;8655;7728;22745;245;19913;5986;13927;13181;36801;233
Sachsen-Anhalt;1996;8986;3750;5236;5484;14712;224;10331;2281;8050;7073;22758;268;19317;6031;13286;12557;37470;249
Sachsen-Anhalt;1997;11355;4793;6562;6383;16394;214;9615;2147;7468;6499;21318;273;20970;6940;14030;12882;37712;244
Sachsen-Anhalt;1998;13935;5959;7976;8460;20375;201;10182;2201;7981;6847;22786;277;24117;8160;15957;15307;43162;235
Sachsen-Anhalt;1999;15561;7077;8484;9798;23601;201;11179;2600;8579;7433;25411;285;26740;9677;17063;17231;49012;237
Sachsen-Anhalt;2000;15713;7081;8632;10205;24862;203;12397;2858;9539;8343;29437;294;28110;9939;18171;18548;54298;244
Sachsen-Anhalt;2001;16477;10240;6237;10281;30879;250;14700;3705;10995;9843;40622;344;31178;13946;17232;20124;71504;296
Sachsen-Anhalt;2002;16641;10019;6622;10469;34084;271;15913;5272;10641;11110;47943;360;32555;15292;17263;21579;82027;317
Sachsen-Anhalt;2003;17395;10097;7298;11131;37132;278;17449;6091;11358;11783;52027;368;34844;16188;18656;22914;89160;324
Sachsen-Anhalt;2004;18690;10889;7801;11986;40272;280;18663;6496;12167;12894;57159;369;37353;17385;19968;24880;97433;326
Sachsen-Anhalt;2005;19891;11745;8146;12653;42268;278;18890;6678;12212;13229;59384;374;38782;18423;20359;25882;101654;327
Sachsen-Anhalt;2006;19734;11567;8167;12722;41762;274;18106;6330;11776;12774;57414;375;37841;17897;19944;25496;99178;324
Sachsen-Anhalt;2007;19407;11854;7553;12348;40595;274;17689;6473;11216;12027;54159;375;37096;18327;18769;24375;94754;324
Sachsen-Anhalt;2008;18421;12059;6362;12040;43491;301;17914;6868;11046;11770;55861;396;36335;18927;17408;23810;99352;348
Sachsen-Anhalt;2009;17368;11395;5973;11371;45467;333;18493;6945;11548;12410;63588;427;35861;18340;17521;23781;109054;382
Sachsen-Anhalt;2010;15751;10378;5373;10215;43270;353;19237;7146;12091;12850;66884;434;34989;17525;17464;23066;110161;398
Sachsen-Anhalt;2011;14162;9317;4845;9324;43209;386;19706;7280;12426;13221;72830;459;33869;16597;17272;22546;116042;429
Sachsen-Anhalt;2012;12941;8550;4391;8336;39867;399;19483;7313;12170;13201;72592;458;32424;15863;16561;21537;112460;435
Sachsen-Anhalt;2013;11886;7909;3977;7848;38603;410;18515;6865;11650;12755;70312;459;30401;14774;15627;20603;108915;441
Sachsen-Anhalt;2014;10896;7189;3707;7005;35033;417;17305;6604;10701;11833;65933;464;28201;13793;14408;18838;100965;447
Sachsen-Anhalt;2015;10222;6772;6772;113;682;416;15980;6107;9873;10766;60412;468;26202;12879;13323;17596;94508;448
